Inventory ID,Description, Level-3 
PLY-PTS-240,67/69 Valiant 2&4 Door Sedan Package Tray w/Speaker, $ 43.10 
PLY-PTS-245,67/69 Valiant 2&4 Door Sedan Package Tray w/Speaker & Defrost, $ 44.90 
PLY-PTS-250,68 Satellite 4 Door Sedan Package Tray w/Speaker, $ 51.60 
PLY-PTS-260,69 Satellite 4 Door Sedan Package Tray w/Speaker, $ 46.80 
PLY-PTS-265,70 Satellite 4 Door Sedan Package Tray w/Speakers, $ 46.80 
PLY-PTS-270,70 Satellite 4 Door Sedan Package Tray w/Speakers & Defrost, $ 48.70 
PLY-PTS-280,71/73 Plymouth Scamp Package Tray w/Speakers, $ 46.80 
PLY-PTS-285,73 Valiant 4 Door Sedan Package Tray w/Speakers, $ 46.80 
PLY-PTS-300,76/80 Volare Package Tray w/Horizontal Speakers NO VINYL!, $ 46.80 
PLY-PTS-305,76/80 Volare Package Tray w/Vertical Speakers NO VINYL!, $ 46.80 
PLY-RAD-250,76/80 Plymouth Volare Lower Bumper to Radiator Seal 2pc, $ 25.80 
PLY-SDP-125,38 Plymouth P-6 Humpback 4 Door Sedan Side Panels Shiny Black Panelboard 3pc, $ 53.00 
PLY-SDP-240,55/56 Plymouth 2 Door Hardtop Side Panels Gray Panelboard w/Binding w/Rivets 4pc, $ 60.80 
PLY-SDP-245,55/56 Plymouth 2&4 Door Sedan Side Panels Gray Panelboard w/Binding w/Rivets 4pc, $ 60.20 
PLY-SDP-250,56 Plymouth 4 Door Hardtop Side Panels Gray Panelboard w/Binding w/Rivets 5pc, $ 65.70 
PLY-SDP-265,57/59 Plymouth 2 Door Hardtop Trunk Side Panels Gray Panelboard w/Binding w/Rivets 7pc, $ 76.20 
PLY-SLO-180,60/62 Valiant Front Wheel Splash Shields 2pc, $ 21.50 
PLY-SLO-195,62/65 B-Body Heater Box Seal 2pc, $ 14.00 
PLY-SLO-200,63/65 Belvedere Lower Fender Shield 2pc w/Clips, $ 11.90 
PLY-SLO-205,63/65 Belvedere Front Wheel Splash Shields 2pc w/Clips, $ 12.70 
PLY-SLO-210,63/65 Belvedere Inner Fender to Splash Shield Seal 2pc, $ 14.10 
PLY-SLO-215,63/65 Plymouth Rear Upper Fender Seals 2pc w/Clips, $ 19.70 
PLY-SLO-220,63 Plymouth Headlight Splash Shields 4pc w/Clips, $ 24.90 
PLY-SLO-225,64 Plymouth Headlight Splash Shields 2pc w/Clips, $ 34.80 
PLY-SLO-300,65 Plymouth Headlight Splash Shields 4pc w/Clips, $ 28.90 
PLY-SLO-350,66 Plymouth Satellite & Belvedere Headlight Splash Shields 4pc w/Clips, $ 32.60 
PLY-SLO-370,67 Plymouth Satellite & Roadrunner Headlight Splash Shields 4pc w/Clips, $ 26.40 
PLY-SLO-500,69 Plymouth C-Body Gear Box Mud Flap 1pc, $ 12.50 
